X, Y, Z, Red, Green, Blue, Gray,
107.117,294.6999,95.854997,0.000680527,0.174214844,44.599,3.566418468,
107.117,294.6999,95.907442,0.021394882,5.477089844,122.135,112.1235938,
107.117,294.6999,95.940898,0.000513504,0.131457031,33.653,2.691106991,
107.117,294.6999,95.961696,0.000483154,0.1236875,31.664,2.532053956,
107.117,294.6999,96.0268,0.000631653,0.161703125,41.396,3.310286305,
107.117,294.6999,96.045788,0.004752914,1.216746094,55.487,24.90847304,
107.117,294.6999,96.17871,0.00048938,0.12528125,32.072,2.564680219,
107.117,294.6999,96.186848,0.000813171,0.208171875,53.292,4.261565797,
107.117,294.6999,96.199507,0.001137146,0.291109375,74.524,5.959410971,
107.1319167,294.6998917,95.77,0.041867477,10.71807422,183.827,219.4137825,
107.1319167,294.6998917,95.796222,0.000839172,0.214828125,54.996,4.397828428,
107.1319167,294.6998917,95.80436,0.000446396,0.114277344,29.255,2.33941506,
107.1319167,294.6998917,95.809786,0.0005354,0.1370625,35.088,2.805858678,
107.1319167,294.6998917,95.819732,0.000477158,0.122152344,31.271,2.500627187,
107.1319167,294.6998917,95.822445,0.000483932,0.123886719,31.715,2.536132239,
107.1319167,294.6998917,95.854997,0.000706833,0.180949219,46.323,3.704280425,
107.1319167,294.6998917,95.908346,0.021887451,5.6031875,154.416,114.704987,
107.1319167,294.6998917,95.934569,0.000539566,0.138128906,35.361,2.827689487,
107.1319167,294.6998917,96.045788,0.004516418,1.156203125,39.988,23.66907486,
107.1319167,294.6998917,96.181422,0.001730774,0.443078125,113.428,9.070421175,
107.1319167,294.6998917,96.204028,0.000530731,0.135867188,34.782,2.781388981,
107.1319167,294.6998917,96.317056,0.000533676,0.136621094,34.975,2.796822483,
107.1319167,294.6998917,96.342374,0.000677612,0.17346875,44.408,3.551144898,
107.1468333,294.6998833,95.77,0.041688553,10.67226953,172.101,218.4760973,
107.1468333,294.6998833,95.796098,0.000806213,0.206390625,52.836,4.22510115,
107.1468333,294.6998833,95.802398,0.000706711,0.180917969,46.315,3.703640695,
107.1468333,294.6998833,95.810497,0.000852005,0.218113281,55.837,4.465080114,
107.1468333,294.6998833,95.823096,0.000626816,0.160464844,41.079,3.284936977,
107.1468333,294.6998833,95.831196,0.00051297,0.131320313,33.618,2.68830817,
107.1468333,294.6998833,95.846495,0.000733261,0.187714844,48.055,3.842782113,
107.1468333,294.6998833,95.858194,0.000606918,0.155371094,39.775,3.180660879,
107.1468333,294.6998833,95.866293,0.000507141,0.129828125,33.236,2.65776103,
